 self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess
496.0,496.0,496.0
0.0,0.0,0.0
918.0,918.0,918.0
0.0,0.0,0.0
545.0,16000.0,3151.15789474
8500.0,8500.0,8500.0
545.0,16000.0,3151.15789474
545.0,16000.0,3151.15789474
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
10700.0,16200.0,13450.0
770.0,22800.0,11785.0
4800.0,4800.0,4800.0
0.0,0.0,0.0
555.0,14000.0,3904.625
0.0,0.0,0.0
5000.0,5000.0,5000.0
545.0,16000.0,2829.54166667
545.0,16000.0,3151.15789474
704.0,704.0,704.0
545.0,16000.0,3151.15789474
16100.0,16100.0,16100.0
2800.0,2800.0,2800.0
924.0,924.0,924.0
2500.0,2500.0,2500.0
545.0,16000.0,3035.65
0.0,0.0,0.0
0.0,0.0,0.0
6100.0,6100.0,6100.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
6200.0,6200.0,6200.0
545.0,18200.0,3713.13636364
1300.0,2500.0,1775.0
101.0,2600.0,972.4
6300.0,6300.0,6300.0
545.0,16000.0,3168.6
0.0,0.0,0.0
545.0,16000.0,2758.70833333
545.0,16000.0,3151.15789474
545.0,16000.0,3151.15789474
0.0,0.0,0.0
545.0,16000.0,3151.15789474
638.0,29200.0,8260.75
545.0,16000.0,3233.6
545.0,16000.0,3083.6
0.0,0.0,0.0
545.0,16000.0,3151.15789474
545.0,16000.0,3078.6
0.0,0.0,0.0
545.0,16000.0,3428.6
1900.0,1900.0,1900.0
0.0,0.0,0.0
1300.0,1300.0,1300.0
585.0,1600.0,997.333333333
1200.0,8700.0,3733.33333333
545.0,16000.0,3151.15789474
0.0,0.0,0.0
545.0,16000.0,3151.15789474
0.0,0.0,0.0
545.0,16000.0,3151.15789474
545.0,545.0,545.0
0.0,0.0,0.0
638.0,3300.0,1559.5
1100.0,1500.0,1300.0
821.0,821.0,821.0
0.0,0.0,0.0
1400.0,3500.0,2366.66666667
0.0,0.0,0.0
3900.0,3900.0,3900.0
